Model Number,Model Name,Variant,Retail Price,Market Price
Root Beer 126711CHNR,GMT-Master II,,"$16,700","$18,074"
226570,Explorer II,,"$9,650","$10,386"
226570-0001,Explorer II,White Dial,"$9,650","$10,153"
226570-0002,Explorer II,Black Dial,,"$10,591"
124060,Submariner,,"$9,100","$10,991"
Sprite 126720,GMT-Master II Sprite (Left-handed),,"$11,250","$16,673"
126720VTNR-0001,GMT-Master II ,,"$11,450","$16,218"
126720VTNR-0002,GMT-Master II ,,"$11,450","$16,854"
126613LB,Submariner Date (Oystersteel and yellow gold),,"$16,150","$16,160"
Batman 116710BLNR,GMT-Master II Batman,,~$9400,"$13,642"
126331,Datejust 41,,"$14,600","$15,204"
126500,Cosmograph Daytona,,"$15,100","$29,492"
126500LN-0001,Cosmograph Daytona,White Dial,"$15,100","$31,241"
126500LN-0002,Cosmograph Daytona,Black Dial,"$15,100","$27,569"
126600,Sea-Dweller,,"$13,250","$12,166"
126600-0001,Sea-Dweller,,"$13,900","$13,278"
126600-0002,Sea-Dweller,,"$13,250","$13,270"
216570,Explorer II,,"$8,350","$8,346"
216570-0001,Explorer II,White Dial,,"$8,599"
216570-0002,Explorer II,Black Dial,,"$8,097"
Starbucks 126610LV,Submariner Date,,"$10,800","$14,264"
116503,Cosmograph Daytona,,"$19,100","$19,400"
116503-0001,Cosmograph Daytona,,"$19,100","$22,850"
116503-0003,Cosmograph Daytona,,"$19,100","$24,825"
116503-0004,Cosmograph Daytona,,"$19,100","$23,441"
116503-0006,Cosmograph Daytona,,"$19,700","$24,510"
116503-0007,Cosmograph Daytona,,"$22,500","$30,578"
116503-0008,Cosmograph Daytona,,"$19,700","$23,284"
116503-0009,Cosmograph Daytona,,"$22,500","$26,501"
116503-0011,Cosmograph Daytona,,"$21,100","$31,561"
126713,GMT-Master II,,"$17,000","$18,972"
126200,Datejust 36,,"$7,450","$8,209"
116500,Cosmograph Daytona,,"$14,800","$26,051"
116500LN-0001,Cosmograph Daytona,White Dial,"$14,800","$27,565"
116500LN-0002,Cosmograph Daytona,Black Dial,"$14,800","$24,422"
126622,Yacht-Master,,"$12,300","$13,264"
126622-0001,Yacht-Master,Grey Dial,"$12,300","$13,645"
126622-0002,Yacht-Master,Blue Dial,"$12,300","$12,944"
Bruce Wayne 126710GRNR,GMT-Master II,,"$10,700","$17,733"
124270,Explorer,,"$7,250","$7,286"
116613LB,Submariner,,~$15100,"$13,378"
126900,Air-King,,"$7,450","$8,015"
116520,Daytona,,~$12800,"$19,804"
